,Marktplatz,Artrium,Therme,Gries,Bahnhof,Betriebshof
Marktplatz,0,0,0,0,0,0
Artrium,0,0,0,0,0,0
Therme,0,0,0,0,0,0
Gries,0,0,0,0,0,0
Bahnhof,0,0,0,0,0,0
Betriebshof,0,0,0,0,0,0
