vehicle_type,level_of_loading,incline,mean_speed,t_amb,consumption
EZ10,0,-0.03,2.626,28,0.657
EZ10,0,-0.03,2.626,30,0.859
EZ10,0,-0.03,2.626,32,0.58
EZ10,0,-0.03,12.115,-16,0.837
EZ10,0,-0.03,12.115,-14,0.77
EZ10,0,-0.03,12.115,-12,0.706
EZ10,0,-0.03,12.115,-10,0.644
EZ10,0,-0.03,12.115,-8,0.584
EZ10,0,-0.03,12.115,-6,0.526
EZ10,0,-0.03,12.115,-4,0.524
EZ10,0,-0.03,12.115,-2,0.469
EZ10,0,-0.03,12.115,0,0.416
EZ10,0,-0.03,12.115,2,0.414
EZ10,0,-0.03,12.115,4,0.364
EZ10,0,-0.03,12.115,6,0.316
EZ10,0,-0.03,12.115,8,0.27
EZ10,0,-0.03,12.115,10,0.227
EZ10,0,-0.03,12.115,12,0.187
EZ10,0,-0.03,12.115,14,0.15
EZ10,0,-0.03,12.115,16,0.186
EZ10,0,-0.03,12.115,18,0.149
EZ10,0,-0.03,12.115,20,0.116
EZ10,0,-0.03,12.115,22,0.131
EZ10,0,-0.03,12.115,24,0.12
EZ10,0,-0.03,12.115,26,0.12
EZ10,0,-0.03,12.115,28,0.13
EZ10,0,-0.03,12.115,30,0.144
EZ10,0,-0.03,12.115,32,0.123
EZ10,0,-0.03,17.957,-16,0.579
EZ10,0,-0.03,17.957,-14,0.538
EZ10,0,-0.03,17.957,-12,0.497
EZ10,0,-0.03,17.957,-10,0.458
EZ10,0,-0.03,17.957,-8,0.421
EZ10,0,-0.03,17.957,-6,0.384
EZ10,0,-0.03,17.957,-4,0.382
EZ10,0,-0.03,17.957,0,0.313
EZ10,0,-0.03,17.957,-2,0.347
EZ10,0,-0.03,17.957,2,0.312
EZ10,0,-0.03,17.957,4,0.28
EZ10,0,-0.03,17.957,6,0.249
EZ10,0,-0.03,17.957,8,0.219
EZ10,0,-0.03,17.957,10,0.191
EZ10,0,-0.03,17.957,12,0.165
