vehicle_type,level_of_loading,incline,mean_speed,t_amb,consumption
bus_18m,0.0,-0.04,2.626,-10,49.706
bus_18m,0.0,-0.04,2.626,-15,62.502
bus_18m,0.0,-0.04,2.626,-5,38.267
bus_18m,0.0,-0.04,2.626,0,28.154
bus_18m,0.0,-0.04,2.626,5,19.357
bus_18m,0.0,-0.04,2.626,10,11.91
bus_18m,0.0,-0.04,2.626,15,5.935
bus_18m,0.0,-0.04,2.626,20,1.925
bus_18m,0.0,-0.04,2.626,25,3.269
bus_18m,0.0,-0.04,2.626,30,6.207
bus_18m,0.0,-0.04,2.626,35,10.877
bus_18m,0.0,-0.04,2.626,40,17.39
bus_18m,0.0,-0.04,12.115,-15,3.752
bus_18m,0.0,-0.04,12.115,-10,3.015
bus_18m,0.0,-0.04,12.115,-5,2.322
bus_18m,0.0,-0.04,12.115,0,1.674
bus_18m,0.0,-0.04,12.115,5,1.069
bus_18m,0.0,-0.04,12.115,10,0.507
bus_18m,0.0,-0.04,12.115,15,-0.007
bus_18m,0.0,-0.04,12.115,20,-0.462
bus_18m,0.0,-0.04,12.115,25,-0.308
bus_18m,0.0,-0.04,12.115,40,0.88
bus_18m,0.0,-0.04,12.115,30,-0.035
bus_18m,0.0,-0.04,12.115,35,0.361
bus_18m,0.0,-0.04,17.957,-15,2.048
bus_18m,0.0,-0.04,17.957,-10,1.578
bus_18m,0.0,-0.04,17.957,-5,1.134
bus_18m,0.0,-0.04,17.957,5,0.323
bus_18m,0.0,-0.04,17.957,0,0.716
bus_18m,0.0,-0.04,17.957,10,-0.044
bus_18m,0.0,-0.04,17.957,15,-0.384
bus_18m,0.0,-0.04,17.957,20,-0.689
bus_18m,0.0,-0.04,17.957,35,-0.149
bus_18m,0.0,-0.04,17.957,25,-0.588
bus_18m,0.0,-0.04,17.957,30,-0.408
bus_18m,0.0,-0.04,17.957,40,0.19
bus_18m,0.0,-0.04,25.184,-15,0.887
bus_18m,0.0,-0.04,25.184,0,0.099
bus_18m,0.0,-0.04,25.184,-10,0.614
bus_18m,0.0,-0.04,25.184,-5,0.351
bus_18m,0.0,-0.04,25.184,5,-0.143
bus_18m,0.0,-0.04,25.184,10,-0.375
bus_18m,0.0,-0.04,25.184,20,-0.804
bus_18m,0.0,-0.04,25.184,15,-0.596
bus_18m,0.0,-0.04,25.184,25,-0.736
bus_18m,0.0,-0.04,25.184,30,-0.619
bus_18m,0.0,-0.04,25.184,35,-0.453
bus_18m,0.0,-0.04,25.184,40,-0.238
bus_18m,0.0,-0.04,29.997,-10,0.308
bus_18m,0.0,-0.04,29.997,-15,0.534
bus_18m,0.0,-0.04,29.997,0,-0.119
bus_18m,0.0,-0.04,29.997,-5,0.091
bus_18m,0.0,-0.04,29.997,5,-0.32
bus_18m,0.0,-0.04,29.997,10,-0.514
bus_18m,0.0,-0.04,29.997,20,-0.876
bus_18m,0.0,-0.04,29.997,15,-0.7
bus_18m,0.0,-0.04,29.997,30,-0.722
bus_18m,0.0,-0.04,29.997,25,-0.82
bus_18m,0.0,-0.04,29.997,40,-0.406
bus_18m,0.0,-0.04,29.997,35,-0.584
bus_18m,0.0,-0.04,37.093,-15,0.231
bus_18m,0.0,-0.04,37.093,0,-0.316
bus_18m,0.0,-0.04,37.093,-10,0.041
bus_18m,0.0,-0.04,37.093,-5,-0.141
bus_18m,0.0,-0.04,37.093,5,-0.485
bus_18m,0.0,-0.04,37.093,10,-0.646
bus_18m,0.0,-0.04,37.093,15,-0.801
bus_18m,0.0,-0.04,37.093,25,-0.902
bus_18m,0.0,-0.04,37.093,20,-0.947
bus_18m,0.0,-0.04,37.093,30,-0.823
bus_18m,0.0,-0.04,37.093,35,-0.71
bus_18m,0.0,-0.04,37.093,40,-0.563
bus_18m,0.0,-0.02,2.626,-15,62.651
bus_18m,0.0,-0.02,2.626,-10,49.855
bus_18m,0.0,-0.02,2.626,-5,38.417
bus_18m,0.0,-0.02,2.626,0,28.303
bus_18m,0.0,-0.02,2.626,5,19.506
bus_18m,0.0,-0.02,2.626,10,12.059
bus_18m,0.0,-0.02,2.626,15,6.084
bus_18m,0.0,-0.02,2.626,20,2.074
bus_18m,0.0,-0.02,2.626,25,3.418
bus_18m,0.0,-0.02,2.626,30,6.356
bus_18m,0.0,-0.02,2.626,35,11.026
bus_18m,0.0,-0.02,2.626,40,17.539
bus_18m,0.0,-0.02,12.115,-15,4.743
bus_18m,0.0,-0.02,12.115,-5,3.313
bus_18m,0.0,-0.02,12.115,-10,4.006
bus_18m,0.0,-0.02,12.115,0,2.665
bus_18m,0.0,-0.02,12.115,5,2.06
bus_18m,0.0,-0.02,12.115,10,1.498
bus_18m,0.0,-0.02,12.115,15,0.984
bus_18m,0.0,-0.02,12.115,25,0.683
bus_18m,0.0,-0.02,12.115,30,0.956
bus_18m,0.0,-0.02,12.115,20,0.53
bus_18m,0.0,-0.02,12.115,35,1.352
bus_18m,0.0,-0.02,12.115,40,1.871
bus_18m,0.0,-0.02,17.957,-15,3.062
bus_18m,0.0,-0.02,17.957,0,1.729
bus_18m,0.0,-0.02,17.957,-5,2.147
bus_18m,0.0,-0.02,17.957,-10,2.591
bus_18m,0.0,-0.02,17.957,5,1.336
bus_18m,0.0,-0.02,17.957,10,0.969
bus_18m,0.0,-0.02,17.957,15,0.63
bus_18m,0.0,-0.02,17.957,20,0.325
bus_18m,0.0,-0.02,17.957,25,0.426
bus_18m,0.0,-0.02,17.957,30,0.606
bus_18m,0.0,-0.02,17.957,35,0.865
bus_18m,0.0,-0.02,17.957,40,1.204
bus_18m,0.0,-0.02,25.184,-15,1.93
bus_18m,0.0,-0.02,25.184,-10,1.657
bus_18m,0.0,-0.02,25.184,-5,1.395
bus_18m,0.0,-0.02,25.184,0,1.142
bus_18m,0.0,-0.02,25.184,5,0.9
bus_18m,0.0,-0.02,25.184,10,0.669
bus_18m,0.0,-0.02,25.184,15,0.447
bus_18m,0.0,-0.02,25.184,20,0.239
bus_18m,0.0,-0.02,25.184,25,0.307
bus_18m,0.0,-0.02,25.184,35,0.59
bus_18m,0.0,-0.02,25.184,30,0.424
bus_18m,0.0,-0.02,25.184,40,0.805
bus_18m,0.0,-0.02,29.997,-15,1.542
bus_18m,0.0,-0.02,29.997,-10,1.316
bus_18m,0.0,-0.02,29.997,-5,1.099
bus_18m,0.0,-0.02,29.997,0,0.89
bus_18m,0.0,-0.02,29.997,5,0.688
bus_18m,0.0,-0.02,29.997,10,0.494
bus_18m,0.0,-0.02,29.997,20,0.133
bus_18m,0.0,-0.02,29.997,15,0.309
bus_18m,0.0,-0.02,29.997,25,0.189
bus_18m,0.0,-0.02,29.997,30,0.286
bus_18m,0.0,-0.02,29.997,40,0.603
bus_18m,0.0,-0.02,29.997,35,0.424
bus_18m,0.0,-0.02,37.093,-10,1.014
bus_18m,0.0,-0.02,37.093,-15,1.204
bus_18m,0.0,-0.02,37.093,-5,0.832
bus_18m,0.0,-0.02,37.093,0,0.657
bus_18m,0.0,-0.02,37.093,5,0.488
bus_18m,0.0,-0.02,37.093,10,0.326
bus_18m,0.0,-0.02,37.093,20,0.026
bus_18m,0.0,-0.02,37.093,15,0.172
bus_18m,0.0,-0.02,37.093,25,0.071
bus_18m,0.0,-0.02,37.093,30,0.15
bus_18m,0.0,0.0,2.626,-15,63.291
bus_18m,0.0,0.0,2.626,-10,50.494
bus_18m,0.0,-0.02,37.093,35,0.263
bus_18m,0.0,-0.02,37.093,40,0.41
bus_18m,0.0,0.0,2.626,-5,39.056
bus_18m,0.0,0.0,2.626,0,28.942
bus_18m,0.0,0.0,2.626,5,20.145
bus_18m,0.0,0.0,2.626,15,6.723
bus_18m,0.0,0.0,2.626,10,12.699
bus_18m,0.0,0.0,2.626,20,2.713
bus_18m,0.0,0.0,2.626,25,4.057
bus_18m,0.0,0.0,2.626,30,6.996
bus_18m,0.0,0.0,2.626,35,11.665
bus_18m,0.0,0.0,2.626,40,18.178
bus_18m,0.0,0.0,12.115,-15,5.829
bus_18m,0.0,0.0,12.115,-10,5.092
bus_18m,0.0,0.0,12.115,-5,4.399
