hour,lowest,highest,median
0,2.4,24.1,13.3
1,2.2,23.4,12.9
2,2.2,22.2,12.2
3,1.7,23.0,12.1
4,1.7,23.6,12.0
5,1.6,22.3,12.6
6,1.9,23.2,13.4
7,2.6,24.2,14.8
8,3.1,24.2,15.8
9,4.6,24.2,17.3
10,5.9,24.2,18.0
11,5.9,24.2,18.6
12,6.3,24.2,19.6
13,6.9,24.2,20.5
14,5.2,24.2,20.6
15,6.8,24.2,20.3
16,5.2,24.2,20.2
17,6.0,24.2,19.5
18,5.5,24.2,18.7
19,4.1,24.2,17.0
20,3.8,24.2,16.0
21,3.4,24.2,15.2
22,3.2,24.2,14.5
23,2.9,24.2,14.0
